shortName,name,averageDelay,passagesCount,latitude,longitude
2951,Ochojno Dąbrówki,1.8666666666666667,15,49.959408333333336,19.96339222222222
388,Dunikowskiego,4.567104511707596,1751,50.091593055555556,20.016346111111112
428,Os.Wandy,8.478260869565217,23,50.06935111111111,20.048817777777778
521,Wyciąże Wiadukt (nż),9.461538461538462,13,50.07906222222222,20.17270361111111
625,Malborska,5.371084337349398,2905,50.02632611111111,19.973638333333334
101,Strzelców,2.4081632653061225,49,50.09296194444445,19.975254166666666
1093,Polanka Hallera Dwór,1.9216867469879517,166,49.937643055555554,19.765900555555554
1192,Krzyszkowice Kasztanowa I (nż),6.666666666666667,15,49.9866,20.0242
1259,Wysłouchów,6.37037037037037,54,50.008118055555556,19.953599166666667
672,Bieżanów Kaim,3.68,25,50.00807611111111,20.045039166666665
986,Modlnica,0.3333333333333333,3,50.13062305555555,19.8631775
1112,Wielkie Drogi Trzebol (nż),8.5,8,49.96071472222222,19.686406944444446
2648,Brzeska (nż),8.076923076923077,13,50.072490277777774,20.1896875
279,Nowa Wieś Kościół (nż),1.4444444444444444,18,50.02731444444444,19.697554722222222
2863,Skawina Centrum Sportowe,3.40625,32,49.9712,19.8257
3187,Orłowskiego (nż),4.357142857142857,14,50.1082,20.1083
415,Aleja Przyjaźni,0.5294117647058824,68,50.07538611111111,20.03459611111111
422,Os.Zielone,4.967741935483871,62,50.079251666666664,20.04566861111111
543,Przylasek Wyciąski (nż),5.0476190476190474,21,50.05903194444444,20.176718055555554
685,Instytut Pediatrii,1.7414529914529915,936,50.010238333333334,20.000145555555555
979,Będkowice Mosurowa (nż),1.0,7,50.1807,19.7672
1111,Jaśkowice PKP (nż),8.625,8,49.960699444444444,19.674220555555557
961,Zabierzów Młyn,-0.3333333333333333,3,50.11965361111111,19.801657777777777
1099,Krzęcin Szkoła,3.6666666666666665,3,49.9438,19.739
1205,Wołowice Sklep (nż),2.642857142857143,14,49.989402222222225,19.720433055555556
29,Witkowice,0.4782608695652174,46,50.108580833333335,19.94314
2989,Cmentarz Grębałów Południe (nż),4.48,25,50.09016277777778,20.063681388888888
703,Barycz (nż),1.5454545454545454,11,49.98519861111111,20.002464166666666
788,Radziszów Centrum,3.390151515151515,264,49.93870916666667,19.809794444444446
836,Dwór Czeczów,3.4,25,50.015233888888886,20.040507777777776
1100,Skawina Wyspiańskiego,4.846153846153846,13,49.9745,19.8565
112,Stella-Sawickiego,1.7058823529411764,102,50.07472194444444,20.004267777777777
2587,Fort Swoszowice (nż),1.4166666666666667,24,49.98905805555555,19.956121666666668
2896,Piekary Na Brzegu (nż),1.793103448275862,29,50.029585,19.80729
3074,Kłuszyńska,6.561643835616438,73,49.98740472222222,19.913491666666665
42,Skrajna (nż),1.25,4,50.092418333333335,19.917706388888888
424,Os.Na Skarpie,5.800655737704918,1525,50.06925472222222,20.04618333333333
863,Ochojno Kamieniec,2.3125,16,49.95728805555556,19.971280833333335
2772,Libertów Zgodna (nż),4.08,150,49.9779,19.9092
2784,Zielonki Galicyjska (nż),3.35,20,50.12236305555555,19.932850555555557
468,Lubocza Bugaj (nż),4.416666666666667,24,50.09218805555555,20.074551111111113
626,Makowa,5.420725388601037,2895,50.027205,19.966294166666668
686,Dom Spokojnej Starości,0.8670309653916212,549,50.009260833333336,20.004160555555554
