plannedTime,averageDelay
00,4.091434468524252
01,1.4667774086378738
02,1.5546536796536796
03,1.0182336182336182
04,1.0203138435081684
05,1.5067083496157354
06,1.6766027734029885
07,3.848743595999024
08,5.853938766263188
09,6.220771768756276
10,5.225766259656117
11,4.3964689316532475
12,3.7546637211585665
13,3.787620491404708
14,4.56329845814978
15,7.2900350999477235
16,11.779925187032418
17,11.229476198799743
18,8.035546352616366
19,5.0660646158303955
20,2.5971840963428674
21,2.7532408973058278
22,2.012341175755365
23,1.6992424759434928
