patternText,averageDelay
704,14.318676716917922
605,14.06806282722513
910,11.057553956834532
713,10.45177570093458
503,8.37193039518621
173,7.945643246472038
125,6.9560137457044675
163,6.720851818988465
111,6.714285714285714
179,6.628403717593348
304,6.557352826813904
238,6.551246537396122
184,6.521190173240678
469,6.452309425460007
204,6.307428571428572
161,6.273356401384083
174,6.237246070410883
132,6.2139648836259695
169,6.171061967833491
164,6.1221265502804325
501,5.729857253777698
484,5.434185303514377
572,5.401658767772512
244,5.3809399477806785
735,5.3609375
144,5.319047933012461
511,5.27532154340836
139,5.198507677889121
114,5.197780963660163
223,5.072936660268714
301,5.051702395964691
235,4.756170531039641
166,4.2169676124964175
208,4.18734793187348
123,4.171343677781446
201,4.150660792951542
168,4.081850533807829
277,3.8870967741935485
217,3.76056338028169
233,3.6436208125445475
133,3.5888406820704266
207,3.5698924731182795
137,3.5413421706710855
160,3.5298245614035086
130,3.5143355288647813
253,3.5
203,3.3787366779308554
100,3.3157894736842106
151,3.3125
252,3.253784505788068
194,3.2448431997316787
172,3.1102802703002106
229,3.034782608695652
269,2.980392156862745
154,2.9557291666666665
475,2.953153153153153
232,2.934640522875817
224,2.9105431309904155
105,2.8316620088771987
110,2.787878787878788
297,2.781785392245266
740,2.765752409191994
283,2.740461215932914
263,2.732423924449108
239,2.7005649717514126
259,2.699604743083004
222,2.65
405,2.621500559910414
267,2.6090225563909772
182,2.594820266062836
128,2.5771301868862846
149,2.5762987012987013
101,2.567448680351906
422,2.554387019230769
227,2.5291479820627805
230,2.525
213,2.494824016563147
258,2.46875
915,2.46875
134,2.436946902654867
257,2.3962962962962964
247,2.3931159420289854
642,2.3795761078998074
424,2.379465341850012
202,2.3240997229916895
743,2.320187165775401
237,2.3194444444444446
158,2.293388429752066
209,2.269781461944235
429,2.2598522167487687
175,2.2172167707404102
212,2.1913746630727764
124,2.1218887262079065
219,2.120527306967985
611,2.1194029850746268
127,2.1180124223602483
122,2.1034794396746497
112,2.093280632411067
608,2.061964403427818
285,2.0482456140350878
664,2.0446075663466967
255,2.036
260,2.0294117647058822
107,1.9817184643510055
937,1.95906432748538
274,1.9565217391304348
920,1.9411764705882353
610,1.926363125351321
917,1.9246231155778895
754,1.9226094003241492
162,1.8865435356200528
601,1.8751328374070138
225,1.8718434343434343
183,1.8538825494016142
249,1.8201957753735187
243,1.8085373509102323
129,1.806083650190114
113,1.7363636363636363
245,1.7325581395348837
904,1.6933895921237694
214,1.6294498381877023
482,1.6278204233542684
226,1.599712023038157
171,1.5980392156862746
275,1.5650319829424306
116,1.5650224215246638
210,1.5416666666666667
143,1.5344262295081967
220,1.4973821989528795
273,1.4252717391304348
537,1.3430114787305873
902,1.2608695652173914
669,1.2222222222222223
903,1.1666666666666667
211,1.1433823529411764
264,1.1428571428571428
662,1.1054945054945056
265,1.1054181389870437
270,1.0986842105263157
451,1.0802213001383125
643,1.0727272727272728
234,1.0161616161616163
248,1.0
250,0.9809160305343512
221,0.9347826086956522
240,0.7857142857142857
215,0.770917225950783
637,0.738562091503268
758,0.7285223367697594
268,0.6133333333333333
280,0.5714285714285714
287,0.5163636363636364
131,0.4
278,0.0
218,-0.29464285714285715
271,-0.33766233766233766
117,-0.5217391304347826
242,-2.75
