patternText,averageDelay
704,14.253090533829251
605,13.425742574257425
713,10.593760975765509
910,9.961290322580645
278,9.4375
503,7.4461660313845845
174,6.8645903859174
111,6.714285714285714
163,6.611250748055057
173,6.421270005162623
238,6.30126582278481
161,6.273356401384083
125,6.226497878155794
204,6.169820717131474
184,6.073930980289438
132,6.059286839467278
469,6.045971204849709
304,5.936869947100509
169,5.536618158810503
179,5.529395634528902
501,5.40377203158328
164,5.261727106704931
735,5.250148662041625
244,5.2213880547213884
511,5.123204596233641
484,4.9773200166458595
201,4.972497249724973
572,4.971040189125295
114,4.808242677824268
144,4.804810675279419
139,4.679880965033479
223,4.624810892586989
207,4.613065326633166
166,4.471271271271271
301,4.455364455364456
217,4.331223628691983
235,4.322043010752688
168,4.050980392156863
123,4.041917554423344
252,3.995189416716777
277,3.8306264501160094
208,3.803460207612457
233,3.705501618122977
160,3.4508790072388833
130,3.44767130620985
253,3.39107650845935
151,3.37984496124031
137,3.369787141615986
133,3.2966304422117423
227,3.1136671177266577
194,3.0982337841462013
203,3.090956887486856
229,3.06051605717468
100,3.0591397849462365
222,3.034782608695652
642,2.9283065512978985
172,2.9271765515742185
259,2.9203869047619047
283,2.914655679811654
475,2.8796992481203008
224,2.8630259623992838
297,2.8359821996185635
269,2.8162016642192853
232,2.76890756302521
263,2.7305595408895265
149,2.6983372921615203
134,2.648130393096836
239,2.6218351589154247
105,2.6133333333333333
154,2.5951742627345844
422,2.5833495808149736
110,2.561310782241015
247,2.5369609856262834
182,2.529066618523199
405,2.479440789473684
740,2.474592994573261
915,2.46875
101,2.413612565445026
212,2.4108695652173915
128,2.388451986754967
213,2.3823529411764706
175,2.301898346601347
424,2.2537118239864604
202,2.2274590163934427
112,2.2273218142548594
230,2.22
122,2.207674282366725
274,2.196702671972712
237,2.173228346456693
255,2.170244263508512
209,2.167985392574559
258,2.1621621621621623
275,2.1210526315789475
285,2.1056201550387597
429,2.0917602996254683
257,2.0853333333333333
664,2.0337781484570474
124,2.021609597203464
754,1.9624608967674662
267,1.9532374100719425
937,1.9369747899159664
219,1.9338905775075987
601,1.8830188679245283
107,1.878286270691334
743,1.8625803262481464
162,1.8616541353383458
260,1.8545454545454545
249,1.854388036206218
127,1.853896103896104
158,1.8438438438438438
608,1.8420600858369098
611,1.8244147157190636
183,1.8136231387985624
225,1.8
129,1.7826935081148565
210,1.75
610,1.7438936781609196
245,1.7369668246445498
917,1.7318840579710144
243,1.7266606822262118
113,1.680672268907563
904,1.6739332096474953
920,1.6388888888888888
171,1.6111111111111112
482,1.6012360211889347
116,1.5422982885085574
273,1.5234305923961096
143,1.440871158151842
220,1.4337748344370862
214,1.4077922077922078
226,1.4027586206896552
902,1.3661971830985915
903,1.3
537,1.2769299820466786
264,1.2457627118644068
669,1.2290362953692116
662,1.190807799442897
265,1.1672240802675586
270,1.12707182320442
211,1.1213114754098361
250,1.0984615384615384
451,1.0653526970954357
234,1.0291970802919708
248,1.0
221,0.9932885906040269
240,0.8571428571428571
643,0.8522727272727273
215,0.7967407407407407
287,0.7545565006075334
758,0.7406639004149378
637,0.6243093922651933
280,0.6167664670658682
268,0.412
131,0.4
271,0.19811320754716982
218,-0.1070110701107011
117,-1.5161290322580645
242,-3.0833333333333335
